#,GG,Games,Start,End,Unique,Individual Titles,Suggestions
,,,,,490,480,Email
551,,Turmoil,1/9/2025,1/16/2025,,,
550,,Hell Let Loose,1/2/2025,1/9/2025,,,
549,,Kingdom Come: Deliverance,1/1/2025,1/2/2025,,"Happy New Year, y’all! 🥳🎉",
548,⭐,Sifu,12/31/2024,1/1/2025,,,
547,,[Redacted],12/30/2024,12/31/2024,,,
546,,Orcs Must Die! 3,12/29/2024,12/30/2024,,,
545,,Kill Knight,12/28/2024,12/29/2024,,,
544,⭐,Hot Wheels Unleashed,12/27/2024,12/28/2024,,,
543,⭐,Ghostrunner 2,12/26/2024,12/27/2024,,,
542,⭐,Control,12/25/2024,12/26/2024,,,
541,⭐,Dredge,12/24/2024,12/25/2024,,,
540,,Dark and Darker: Legendary Status,12/23/2024,12/24/2024,,,
539,,Wizard of Legend,12/22/2024,12/23/2024,,,
538,,TerraTech,12/21/2024,12/22/2024,,,
537,,Astrea: Six-Sided Oracles,12/20/2024,12/21/2024,,,
536,,Vampire Survivors,12/19/2024,12/20/2024,,,
535,,The Lord of the Rings: Return to Moria,12/12/2024,12/19/2024,,,
534,⭐,Lego Star Wars: The Skywalker Saga,12/5/2024,12/12/2024,,,
533,,Bus Simulator 21 Next Stop,12/5/2024,12/12/2024,,,
532,⭐,Brotato,11/28/2024,12/5/2024,,,
531,,Beholder,11/21/2024,11/28/2024,,,
530,,Snakebird Complete,11/14/2024,11/21/2024,,,
529,,Castlevania Anniversary Collection,11/14/2024,11/21/2024,,,
528,,Deceive Inc.,11/7/2024,11/14/2024,,,
527,,Apex Legends: Ash Free Unlock Bundle,11/7/2024,11/14/2024,,,
526,⭐,Ghostwire: Tokyo,10/31/2024,11/7/2024,,,
525,,Witch It,10/31/2024,11/7/2024,,,
524,,Moving Out,10/24/2024,10/31/2024,,,
523,,Kardboard Kings,10/17/2024,10/24/2024,,,
522,,Invincible Presents: Atom Eve,10/17/2024,10/24/2024,,,
521,,Outliver: Tribulation,10/10/2024,10/17/2024,,,
520,,Empyrion: Galactic Survival,10/10/2024,10/17/2024,,,
519,,Bear and Breakfast,10/3/2024,10/10/2024,,,
518,,The Spirit and the Mouse,9/26/2024,10/3/2024,,,
517,,The Last Stand: Aftermath,9/19/2024,9/26/2024,,,
516,⭐,Toem: A Photo Adventure,9/19/2024,9/26/2024,,,
515,,Super Crazy Rhythm Castle,9/12/2024,9/19/2024,,,
514,,Rugrats: Adventures in Gameland,9/12/2024,9/19/2024,,,
513,,Sniper Ghost Warrior Contracts,9/5/2024,9/12/2024,,,
512,⭐,Football Manager 2024,9/5/2024,9/12/2024,,,
