Date,Title,Year,Game Wiki Link,Source Links
14-27 December 2018,Subnautica,2019,https://ru.wikipedia.org/wiki/Subnautica,https://www.polygon.com/2018/12/7/18130542/epic-games-store-free-games
28 December 2018-10 January 2019,Super Meat Boy,2019,https://ru.wikipedia.org/wiki/Super_Meat_Boy,https://www.igromania.ru/news/79692/V_Epic_Games_Store_nachalas_razdacha_Super_Meat_Boy.html
10-24 January 2019,What Remains of Edith Finch,2019,https://ru.wikipedia.org/wiki/What_Remains_of_Edith_Finch,https://www.polygon.com/2019/1/10/18177082/what-remains-of-edith-finch-epic-games-store-free-giveaways/
24 January - 7 February 2019,The Jackbox Party Pack,2019,https://ru.wikipedia.org/wiki/The_Jackbox_Party_Pack,https://www.pcgamer.com/the-jackbox-party-pack-is-the-next-free-game-from-the-epic-games-store/
7-21 February 2019,Axiom Verge,2019,https://ru.wikipedia.org/wiki/Axiom_Verge,https://www.rockpapershotgun.com/axiom-verge-free-download
21 February - 7 March 2019,Thimbleweed Park,2019,https://ru.wikipedia.org/wiki/Thimbleweed_Park?action=edit&redlink=1,https://www.pcgamer.com/thimbleweed-park-is-free-on-the-epic-games-store/
7-21 March 2019,Slime Rancher,2019,https://ru.wikipedia.org/wiki/Slime_Rancher,https://www.pcgamer.com/slime-rancher-is-now-free-on-the-epic-games-store/
21 March - 4 April 2019,Oxenfree,2019,https://ru.wikipedia.org/wiki/Oxenfree,https://www.pcgamer.com/oxenfree-will-be-the-next-free-game-on-the-epic-games-store/
4-18 April 2019,The Witness,2019,https://ru.wikipedia.org/wiki/The_Witness,https://www.polygon.com/2019/4/4/18295400/the-witness-free-pc-epic-games-store/
18 April - 2 May 2019,Transistor,2019,https://ru.wikipedia.org/wiki/Transistor_(игра),https://www.rockpapershotgun.com/transistor-is-free-to-keep-on-epic-for-the-next-two-weeks
2-16 May 2019,World of Goo,2019,https://ru.wikipedia.org/wiki/World_of_Goo,https://dtf.ru/sale/48858-v-epic-games-store-nachalas-razdacha-world-of-goo
16-30 May 2019,Stories Untold,2019,https://ru.wikipedia.org/wiki/Stories_Untold_(игра)?action=edit&redlink=1,https://www.igromania.ru/news/82907/Sleduyuschey_besplatnoy_igroy_v_Epic_Games_Store_stanet_RiME.html
23-30 May 2019,Rime,2019,https://ru.wikipedia.org/wiki/Rime,https://www.dualshockers.com/epic-games-store-rime-city-of-brass-free/
