daterange_wiki,title_wiki,year_wiki,source_wiki,link_wiki,developer_wiki,publisher_wiki,releasedate_wiki,genre_wiki,engine_wiki,director_wiki,artist_wiki,composer_wiki,platform_wiki,designer_wiki,writer_wiki,programmer_wiki,mode_wiki,summary_wiki,background_wiki
14-27 December 2018,Subnautica,2019,https://www.polygon.com/2018/12/7/18130542/epic-games-store-free-games,https://en.wikipedia.org/wiki/Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"macOS, WindowsJanuary 23, 2018PS4, Xbox OneDecember 4, 2018NS, PS5, Series X/SMay 14, 2021iOS, AndroidJuly 8, 2025Nintendo Switch 2February 172026",,Unity,Charlie Cleveland,,Simon Chylinski,,Charlie Cleveland,Tom Jubert,,Single-player,"Subnautica is a 2018 action-adventure survival game developed and published by Unknown Worlds Entertainment. The player controls Ryley Robinson, a survivor of a spaceship crash on an alien oceanic planet, which they are free to explore. The main objectives are to find essential resources, survive the local flora and fauna, and find a way to escape the planet.","Subnautica was released in early access for Windows in December 2014, macOS in June 2015, and Xbox One in May 2016. The game was released out of early access in January 2018 for macOS and Windows, with versions for PlayStation 4 and Xbox One in December 2018. The physical console versions were published by Gearbox Publishing. The Nintendo Switch, PlayStation 5, and Xbox Series X/S versions were released in May 2021, A Nintendo Switch 2 version was released in February 2026. It received generally positive reviews from critics and sold over 5 million copies by January 2020.

A spin-off, Subnautica: Below Zero, which was originally meant to be downloadable content for the base game, was released in May 2021. A direct sequel, Subnautica 2, is planned to be released in early access sometime in 2026."
28 December 2018-10 January 2019,Super Meat Boy,2019,https://www.igromania.ru/news/79692/V_Epic_Games_Store_nachalas_razdacha_Super_Meat_Boy.html,https://en.wikipedia.org/wiki/Super_Meat_Boy,Team Meat,Team Meat,"October 20, 2010,  Xbox 360WW: October 20, 2010,  WindowsWW: November 30, 2010,  OS XWW: November 18, 2011,  LinuxWW: December 13, 2011,  PlayStation 4, PlayStation VitaWW: October 6, 2015,  Wii UWW: May 12, 2016,  SwitchWW: January 11, 2018",Platform,Tommunism Engine,,Edmund McMillen,Danny Baranowsky,,,,Tommy Refenes,Single-player,,
10-24 January 2019,What Remains of Edith Finch,2019,https://www.polygon.com/2019/1/10/18177082/what-remains-of-edith-finch-epic-games-store-free-giveaways/,https://en.wikipedia.org/wiki/What_Remains_of_Edith_Finch,Giant Sparrow,Annapurna Interactive,"PlayStation 4, WindowsApril 25, 2017Xbox OneJuly 19, 2017Nintendo SwitchJuly 4, 2019iOSAugust 16, 2021PS5, Xbox Series X/SJuly 28, 2022",Exploration,Unreal Engine 4,Ian Dallas,Brandon Martynowicz,Jeff Russo,,Chris Bell,Ian Dallas,Joshua Sarfaty,Single-player,"What Remains of Edith Finch is a first-person exploration video game developed by Giant Sparrow and published by Annapurna Interactive. The game was released in 2017 for PlayStation 4, Windows, and Xbox One; for Nintendo Switch in 2019; for iOS in 2021; and for PlayStation 5 and Xbox Series X/S in 2022.","The story follows the seventeen-year-old Edith Finch, the last surviving member of her family, as she returns to her ancestral home for the first time in seven years. Reexploring the house, she uncovers her family's mysterious past and learns about the series of deaths that eventually caused the complete collapse of her family structure. The game is presented as an interconnected anthology. The story utilizes unique media from multiple perspectives and is told through a series of vignettes; however, the player is made to doubt the authenticity of each story being told. The magical realist story touches on themes of free will, fate, memory, and death.

What Remains of Edith Finch received critical acclaim, receiving praise for its immersive storytelling, characters, and presentation; and is considered an example of video games as an art form. Among other awards and nominations, it won the British Academy Games Award for Best Game 2017 and the Best Narrative category at both The Game Awards 2017 and the 2018 Game Developers Choice Awards."
24 January - 7 February 2019,The Jackbox Party Pack,2019,https://www.pcgamer.com/the-jackbox-party-pack-is-the-next-free-game-from-the-epic-games-store/,https://en.wikipedia.org/wiki/The_Jackbox_Party_Pack,Jackbox Games,,,Party,,,,,,,,,,"The Jackbox Party Pack is a series of party video games developed by Jackbox Games for many different platforms on a near-annual release schedule since 2014. Each installment contains five games that are designed to be played in groups of varying sizes, including in conjunction with streaming services like Twitch which provide means for audiences to participate.",
7-21 February 2019,Axiom Verge,2019,https://www.rockpapershotgun.com/axiom-verge-free-download,https://en.wikipedia.org/wiki/Axiom_Verge,Thomas Happ Games,Thomas Happ Games,"PlayStation 4NA: March 31, 2015PAL: April 20, 2015Linux, OS X, WindowsWW: May 14, 2015PlayStation VitaNA: April 19, 2016PAL: April 20, 2016Wii UWW: September 1, 2016Xbox OneWW: September 30, 2016Nintendo SwitchWW: October 5, 2017",Metroidvania,Microsoft XNA (Windows) / MonoGame (non-Windows platforms),,,Thomas Happ,,,,,Single-player,"Axiom Verge is a metroidvania video game by American indie developer Thomas Happ. The game was originally released in March 2015 in North America and April 2015 in Europe and Australia for PlayStation 4. It was released in May 2015 for Linux, OS X, and Windows. A PlayStation Vita version was released in April 2016. The Wii U and Xbox One versions were released in North America and Europe in September 2016. A Nintendo Switch version was released in October 2017.","A sequel, Axiom Verge 2, was released in 2021."
21 February - 7 March 2019,Thimbleweed Park,2019,https://www.pcgamer.com/thimbleweed-park-is-free-on-the-epic-games-store/,https://en.wikipedia.org/wiki/Thimbleweed_Park,Terrible Toybox,Terrible Toybox,"March 30, 2017, Linux, macOS, Windows, Xbox OneMarch 30, 2017PlayStation 4August 22, 2017iOSSeptember 19, 2017Nintendo SwitchSeptember 21, 2017AndroidOctober 3, 2017Amazon LunaDecember 17, 2020",Point-and-click adventure,,,,Steve Kirk,,,,,Single-player,"Thimbleweed Park is a point-and-click adventure game developed and published by Terrible Toybox for Linux, macOS, Windows, Xbox One, PlayStation 4, iOS, Nintendo Switch, Android, and Amazon Luna. The game was revealed on November 18, 2014, along with a Kickstarter crowd-funding campaign with a goal of US$375,000, and was released on March 30, 2017.","The game is a spiritual successor to lead designers Ron Gilbert and Gary Winnick's previous games Maniac Mansion (1987) and The Secret of Monkey Island (1990), and is designed to be similar to graphic adventure games released in that time period, both visually and in gameplay. The game itself contains numerous oblique references to events and characters from Maniac Mansion and Zak McKracken, loosely suggesting these games to be set in a shared setting."
7-21 March 2019,Slime Rancher,2019,https://www.pcgamer.com/slime-rancher-is-now-free-on-the-epic-games-store/,https://en.wikipedia.org/wiki/Slime_Rancher,Monomi Park,,"PC, Xbox OneAugust 2, 2017PlayStation 4August 22, 2018Nintendo SwitchAugust 12, 2021",Farm life sim,Unity,Nick Popovich,,Harry Mack,,Chris Lum,,,Single-player,"Slime Rancher is a farm life sim video game developed and published by American indie studio Monomi Park. The game was released as an early access title in January 2016, with an official release on Windows, macOS, Linux and Xbox One on August 2, 2017. A PlayStation 4 version was released on August 22, 2018, and a Nintendo Switch version was released on August 12, 2021. A DLC named Secret Style Pack' was released on June 19, 2019 which added additional cosmetic appearances. A sequel, Slime Rancher 2, was released in early access on September 23, 2022, for Windows and Xbox Series X/S and was officially released on 23 September 2025. A feature film adaptation is in development.",
21 March - 4 April 2019,Oxenfree,2019,https://www.pcgamer.com/oxenfree-will-be-the-next-free-game-on-the-epic-games-store/,https://en.wikipedia.org/wiki/Oxenfree,Night School Studio,Night School Studio,"January 15, 2016, OS X, Windows,  Xbox OneJanuary 15, 2016PlayStation 4May 31, 2016LinuxJune 1, 2016iOSMarch 16, 2017AndroidJune 29, 2017Nintendo SwitchOctober 6, 2017",Graphic adventure,Unity,,Heather Gross,Andrew Rohrmann,,,Adam Hines,Bryant Cannon,Single-player,,
4-18 April 2019,The Witness,2019,https://www.polygon.com/2019/4/4/18295400/the-witness-free-pc-epic-games-store/,https://en.wikipedia.org/wiki/The_Witness,,,,,,,,,,,,,,"A witness is someone who has first-hand knowledge of something, such as a crime or wedding, and usually by seeing it.",Witness or The witness may also refer to:
18 April - 2 May 2019,Transistor,2019,https://www.rockpapershotgun.com/transistor-is-free-to-keep-on-epic-for-the-next-two-weeks,https://en.wikipedia.org/wiki/Transistor,,,,,,,,,,,,,,"A transistor is a semiconductor device used to amplify or switch electrical signals and power. It is one of the basic building blocks of modern electronics. It is composed of semiconductor material, usually with at least three terminals for connection to an electronic circuit. A voltage or current applied to one pair of the transistor's terminals controls the current through another pair of terminals. Because the controlled (output) power can be higher than the controlling (input) power, a transistor can amplify a signal. Some transistors are packaged individually, but many more in miniature form are found embedded in integrated circuits. Because transistors are the key active components in practically all modern electronics, many people consider them one of the 20th century's greatest inventions.","Physicist Julius Edgar Lilienfeld proposed the concept of a field-effect transistor (FET) in 1925, but it was not possible to construct a working device at that time. The first working device was a point-contact transistor invented in 1947 by physicists John Bardeen, Walter Brattain, and William Shockley at Bell Labs who shared the 1956 Nobel Prize in Physics for their achievement. The most widely used type of transistor, the metal–oxide–semiconductor field-effect transistor (MOSFET), was invented at Bell Labs between 1955 and 1960. Transistors revolutionized the field of electronics and paved the way for smaller and cheaper radios, calculators, computers, and other electronic devices.

Most transistors are made from very pure silicon, and some from germanium, but certain other semiconductor materials are sometimes used. A transistor may have only one kind of charge carrier in a field-effect transistor, or may have two kinds of charge carriers in bipolar junction transistor devices. Compared with the vacuum tube, transistors are generally smaller and require less power to operate. Certain vacuum tubes have advantages over transistors at very high operating frequencies or high operating voltages, such as traveling-wave tubes and gyrotrons. Many types of transistors are made to standardized specifications by multiple manufacturers."
