FROM,TO,DAY,DAYS,TYPE,Title,NOTES,COLOR_CATEGORY,daterange_wiki,title_wiki,year_wiki,ru_link_wiki,source_wiki,link_wiki,developer_wiki,publisher_wiki,releasedate_wiki,genre_wiki,engine_wiki,director_wiki,artist_wiki,composer_wiki,platform_wiki,designer_wiki,writer_wiki,programmer_wiki,mode_wiki,summary_wiki,background_wiki
2026-04-30 00:00:00,2026-05-07 00:00:00,Thursday,7,next,Firestone Online Idle RPG - Special Offer,"In-game content, log into game to get",FFD0E0E3,,,,,,,,,,,,,,,,,,,,,
2026-04-30 00:00:00,2026-05-07 00:00:00,Thursday,7,next,Oddsparks: An Automation Adventure,,FFD0E0E3,,,,,,,,,,,,,,,,,,,,,
2026-04-23 00:00:00,2026-04-30 00:00:00,Thursday,7,mobile,911 Operator,,FFF4CCCC,14-21 September 2023,911 Operator,2023.0,https://ru.wikipedia.org/wiki/911_Operator,https://dtf.ru/sale/2114159-v-epic-games-store-startovala-razdacha-911-operator-simulyatora-dispetchera-ekstrennyh-sluzhb,https://en.wikipedia.org/wiki/911_Operator,,,,,,,,,,,,,,"A dispatcher is a communications worker who receives and transmits information to coordinate operations of other personnel and vehicles carrying out a service. Emergency organizations including police departments , fire departments , and emergency medical services departments as well as civilian organizations such as motorcycle couriers , taxicab providers, trucking companies , railroads , bus systems, and public utility companies, use dispatchers to relay information, direct personnel, and coordinate their operations.",
2026-04-23 00:00:00,2026-04-30 00:00:00,Thursday,7,,DOOMBLADE,,FFD0E0E3,23-30 April 2026,DOOMBLADE,2026.0,https://ru.wikipedia.org/wiki/DOOMBLADE?action=edit&redlink=1,https://vgtimes.ru/gaming-news/154558-epic-games-store.html,,,,,,,,,,,,,,,,
2026-04-16 00:00:00,2026-04-23 00:00:00,Thursday,7,mobile,Broken Sword : Reforged,,FFF4CCCC,,,,,,,,,,,,,,,,,,,,,
2026-04-16 00:00:00,2026-04-23 00:00:00,Thursday,7,,The Stone of Madness,,FFD0E0E3,16-23 April 2026,The Stone of Madness,2026.0,https://ru.wikipedia.org/wiki/The_Stone_of_Madness,https://www.igromania.ru/news/165707/v-epic-games-store-stali-besplatno-otdavat-stels-strategiyu-the-stone-of-madness/,https://en.wikipedia.org/wiki/The_Stone_of_Madness,The Game Kitchen,Tripwire Presents,28 January 2025,,Unity Engine,,José Antonio Gutiérrez,,,,,,Single-player,"The Stone of Madness is a real-time strategy stealth game developed by The Game Kitchen and published by Tripwire Presents . It was released for Windows , Nintendo Switch , PlayStation 5 , and Xbox Series X and Series S in January 2025.",
2026-04-09 00:00:00,2026-04-16 00:00:00,Thursday,7,mobile,Dumb Ways to Draw,,FFF4CCCC,,,,,,,,,,,,,,,,,,,,,
2026-04-09 00:00:00,2026-04-16 00:00:00,Thursday,7,,Prop Sumo,,FFD0E0E3,9-16 April 2026,Prop Sumo,2026.0,https://ru.wikipedia.org/wiki/Prop_Sumo?action=edit&redlink=1,https://www.polygon.com/epic-games-store-free-game-4-9-2026-prop-sumo/,,,,,,,,,,,,,,,,
2026-04-02 00:00:00,2026-04-09 00:00:00,Thursday,7,mobile,Dumb Ways to Die 2: The Games,,FFF4CCCC,,,,,,,,,,,,,,,,,,,,,
2026-04-02 00:00:00,2026-04-09 00:00:00,Thursday,7,,Clone Drone in the Danger Zone,,FFD0E0E3,2-9 April 2026,Clone Drone in the Danger Zone,2026.0,https://ru.wikipedia.org/wiki/Clone_Drone_in_the_Danger_Zone?action=edit&redlink=1,https://vgtimes.ru/gaming-news/152484-clone-drone-in-the-danger-zone.html,https://en.wikipedia.org/wiki/Clone_Drone_in_the_Danger_Zone,,"Doborog Games, [, a, ]","July 27, 2021",Beat 'em up,Unity,,,,,Dana Nelson,Alice Lai,,,"Clone Drone in the Danger Zone is a beat 'em up video game developed and published by Doborog Games. Initially made available as an early access game on Steam in 2017, it was released for macOS , Microsoft Windows , Nintendo Switch , PlayStation 4 , and Xbox One on July 27, 2021.","In the game, the player's mind has been transferred into a robot gladiator . Playing as a robot, the player must fight against ""floors"" of enemies by using weapons or the environment around them. The playable area is built like a Colosseum , with similar robot NPCs in the stands of the arena. After each level, the player can upgrade themselves or gain new abilities such as clones , new weapons, or lower cooldowns . The game has 4 modes: story mode, endless mode, challenges, and Twitch mode. Along with 5 separate but similar multiplayer gamemodes: Endless Co-op, Co-op Challenges, Last Bot Standing, Team Battle and Private Duels. A virtual reality sequel called Clone Drone in the Hyperdome was released on December 13, 2024."
