title,giveaway_count,first_giveaway,last_giveaway,daterange_wiki,title_wiki,year_wiki,ru_link_wiki,source_wiki,link_wiki,developer_wiki,publisher_wiki,releasedate_wiki,genre_wiki,engine_wiki,director_wiki,artist_wiki,composer_wiki,platform_wiki,designer_wiki,writer_wiki,programmer_wiki,mode_wiki,summary_wiki,background_wiki,mc_title,mc_slug,mc_releaseDate,mc_criticScore,mc_rating,mc_platforms,hltb_found,hltb_game_name,hltb_main_story,hltb_main_extra,hltb_completionist,hltb_all_styles,hltb_review_score,hltb_platforms,hltb_release_world,hltb_similarity,hltb_match_score,hltb_query_used,egs_match_title,egs_match_score,egs_meets_threshold,egs_slug,egs_namespace,egs_offer_id,egs_seller,egs_developer,egs_publisher,egs_original_price_usd,egs_original_price_cents,egs_discount_price_cents,egs_currency,egs_release_date,egs_effective_date,egs_categories,egs_tags,egs_tag_ids,egs_short_description,egs_description,egs_notes
112 Operator,2,2025-08-07,2025-08-07,7-14 August 2025,112 Operator,2025.0,https://ru.wikipedia.org/wiki/112_Operator?action=edit&redlink=1,https://kanobu.ru/news/egs-zapustil-razdachu-simulyatora-112-operator-i-ekshena-road-redemption-503901/,https://en.wikipedia.org/wiki/112_Operator,Jutsu Games,,"Windows, ,, Mac, WW, :, 23 April 2020, iOS, WW, :, 8 October 2020, Android, 21 October 2020, Switch, WW, :, 23 July 2021, PS4, ,, Xbox, US, :, 30 September 2024",,Unity),,,,,,,,Single-player,"112 Operator is a 2020 video game developed by Jutsu Games and published by Games Operators, with a Nintendo Switch port released by SONKA in 2021 and a PlayStation 4 port by Ultimate Games in 2024. The game is a strategy simulation title in which players manage emergency services and send first responders to calls, making decisions on which services to dispatch. The game received several downloadable content updates, expanding the number of emergencies, services and scenarios. Upon release, the game received average reviews.",,112 Operator,112-operator,2020-04-23,73.0,,"PC, iOS (iPhone/iPad), Nintendo Switch, Xbox Series X, Xbox One, PlayStation 4",True,112 Operator,10.15,19.14,28.07,12.82,70.0,"Nintendo Switch, PC",2020.0,1.0,1.0,112 Operator,112 Operator,100.0,True,112-operator,9f981e2c861e4a8fbd0eab89541ac8e6,913af1ed18e24007ab5fd2bc2092c175,Games Operators S.A.,,Games Operators S.A.,24.99,2499.0,499.0,USD,,2025-08-07T15:00:00.000Z,games | games/edition | games/edition/base,"RELAXING, Achievements, Windows, Casual, Simulation, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Single Player, Educational, Strategy, Quickly Understand the Controls, Great for Beginners","1188, 19847, 9547, 1296, 1393, 21138, 21139, 21140, 21141, 1370, 21146, 1115, 21149, 21119","Manage emergency services in any city in the world! Take calls and dispatch rescue forces. Handle difficult situations, now depending on the weather, and traffic. Help the citizens through cataclysms and natural disasters, becoming a better emergency number operator every day!",,no product page (opaque/missing slug); developer unavailable
20 Minutes Till Dawn,1,2024-01-02,2024-01-02,2 January 2024,20 Minutes Till Dawn,2024.0,https://ru.wikipedia.org/wiki/20_Minutes_Till_Dawn?action=edit&redlink=1,https://www.igromania.ru/news/134103/v-epic-games-store-startovala-besplatnaya-razdacha-20-minutes-till-dawn/,https://en.wikipedia.org/wiki/20_Minutes_Till_Dawn,flanne,,"macOS, ,, Windows, June 8, 2023, Android, ,, iOS, September 9, 2022, [, 1, ], Nintendo Switch, December 21, 2023",,"Unity, [, 2, ]",,,,,,,,Single-player,"20 Minutes Till Dawn is a 2022 roguelike game created by the independent developer flanne. The player controls a character who fights against continuous waves of monsters, with the goal being to survive the onslaught until dawn. During each round a player earns gems, with which they are able to unlock additional characters, weapons, and runes for subsequent sessions. The gameplay of 20 Minutes Till Dawn is inspired by Vampire Survivors , with the main difference being that the characters in 20 Minutes Till Dawn do not attack or recharge their weapons automatically.","The game was released in early access on Steam on June 8, 2022, and was ported to Android and iOS by Erabit Studios on September 9, 2022. The game exited early access on Steam with version 1.0 on June 8, 2023. A Nintendo Switch port was released on December 21, 2023",20 Minutes Till Dawn,20-minutes-till-dawn,2022-06-08,0.0,,"PC, iOS (iPhone/iPad), Nintendo Switch",True,20 Minutes Till Dawn,3.65,12.41,30.07,12.95,69.0,"Mac, Mobile, Nintendo Switch, PC",2023.0,1.0,1.0,20 Minutes Till Dawn,20 Minutes Till Dawn,100.0,True,,ee9fad7056a94957b3a4d8c457000337,9758dccdbda54c1387f732d0d7d03b3b,flanne,,flanne,4.99,499.0,499.0,USD,,2024-01-02T16:00:00.000Z,games/edition/base | games/edition | games,"Action, Diverse Characters, RELAXING, Windows, Indie, Unique Visuals, Recommend this Game, Amazing Characters, Great Boss Battles, Extremely Fun, Single Player, Rogue-Lite, Quickly Understand the Controls, Great for Beginners","1216, 21122, 1188, 9547, 1263, 21137, 21138, 21139, 21109, 21141, 1370, 1083, 21149, 21119",20 Minutes Till Dawn is a survival roguelite where endless hordes of creatures lurk from the dark. Craft an array of overpowering builds and eradicate waves of Lovecraftian nightmares. Will you be able to survive the night?,,no product page (opaque/missing slug); developer unavailable
2064: Read Only Memories,1,2021-09-28,2021-09-28,,,,,,,,,,,,,,,,,,,,,,2064: Read Only Memories,2064-read-only-memories,2017-01-17,76.0,M,"PlayStation 4, PC, PlayStation Vita, Xbox One",True,2064: Read Only Memories,9.1,11.5,18.99,10.74,71.0,"Nintendo Switch, PC, PlayStation 4, PlayStation Vita",2015.0,1.0,1.0,2064: Read Only Memories,2064: Read Only Memories,100.0,True,2064-read-only-memories,5b08e4db33c54e518c2a1360cc2c7f18,92e998e921ad4979883c19f65de8b456,"MidBoss, LLC","MidBoss, LLC","MidBoss, LLC",19.99,1999.0,1999.0,USD,,2021-09-28T04:00:00.000Z,games | games/edition | games/edition/base,"Cloud Saves, Investigation, Single Player, Windows, Adventure, Mac OS","21894, 1127, 1370, 9547, 1117, 10719","Dive into a cyberpunk thriller and explore the social challenges of tomorrow through classic adventure gaming. Team up with Turing, the world’s first sapient machine, to unmask a conspiracy that will shake the foundations of Neo-San Francisco. ","**2064: Read Only Memories** merges old-school adventure gaming with modern storytelling to explore some of the social challenges we will face in the near future. Explore the colorful future metropolis of Neo-San Francisco, meeting a huge cast of fascinating characters and solving a far-reaching mystery. Think carefully about your choices, because you never know how they will affect this dynamic, branching narrative further down the line.

![image1](https://cdn2.unrealengine.com/egs-2064readonlymemories-midbossllc-g2-00-3264x701-78e6f29a75dc.jpg)

The world is changing.

Genetic alteration of humans is now commonplace, with many choosing to radically alter their bodies to express their individuality. Virtual intelligences called ROMs (Relationship and Organizational Managers), created as simple digital assistants, are exerting greater control over people’s lives. Some are terrified by this rapid change, and they are willing to go to extreme lengths to prevent it.

![image2](https://cdn2.unrealengine.com/egs-2064readonlymemories-midbossllc-g2-01-3264x701-6310b7658492.jpg)

A lost ROM named Turing breaks into the apartment of a struggling journalist to ask for help. They claim to be the first sapient machine—not a simulation of life but a genuinely self-aware artificial being—and the technical genius who created them has gone missing. Can you unravel the shocking conspiracy that threatens to rock an entire society? Or will the darkness that lies behind the bright neon lights of Neo-SF consume you?

![image3](https://cdn2.unrealengine.com/egs-2064readonlymemories-midbossllc-g2-02-3264x701-835f1d867b49.jpg)

# Features
- **Old-school, cutting-edge** - Classic point-and-click adventuring inspired by the likes of Gabriel Knight and Snatcher is melded with modern branching storytelling that delves into identity, individuality, and what it means to be human.
- **People of the future**- Get to know a diverse cross-section of Neo-SF’s population, brought to life by some of the best voice talent working in games today, including Melissa Hutchison and Dave Fennoy (The Walking Dead), Erin Yvette (Oxenfree), Austin Creed (WWE’s Xavier Woods), and internet stars Jim Sterling (Jimquisition) and SungWon Cho (ProZD).
- **High tech nostalgia** - The city of Neo-San Francisco is rendered in beautiful pixel art, and your adventure is accompanied by a catchy low-fi electronic synth soundtrack.
- **Solve the mystery** - Enjoy over ten hours of adventure gaming goodness, featuring exploration, dynamic branching conversations, multiple endings, and many challenges to overcome.
- **The definitive PC edition** - Since its launch, the team has made many improvements and additions to an already amazing game, making this the ultimate version. Additions have included new characters and voice performers, additional facial animations, Japanese language support, and the “Endless Christmas” extended epilogue that allows you to hang out with your favorite Neo-SF locals.",
20XX,1,2020-07-30,2020-07-30,30 July - 6 August 2020,20XX,2020.0,https://ru.wikipedia.org/wiki/20XX?action=edit&redlink=1,https://www.igromania.ru/news/96235/V_Epic_Games_Store_razdayut_srazu_tri_igry_vklyuchaya_Superbrothers_Sword_and_Sworcery.html,https://en.wikipedia.org/wiki/20XX,,Batterystaple Games,"Windows, October 12, 2016 (, Early access, ), August 16, 2017 (full), PS4, Switch, July 10, 2018, Xbox One, July 11, 2018",Platform,,Chris King,Zach Urtes,Brandon Ellis,,,,,,"20XX is a platform game developed by American studio Batterystaple Games. The early access version was released for Microsoft Windows on Steam on October 12, 2016, and in full on August 16, 2017. PlayStation 4 , Nintendo Switch , and Xbox One versions were released in July 2018. A sequel, 30XX , was released on Steam Early Access on February 17, 2021, and in full on August 9, 2023.",,20XX,20xx,2018-07-10,77.0,E10+,"Nintendo Switch, PC, PlayStation 4, Xbox One",True,20XX,5.98,14.39,40.5,8.69,68.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2014.0,1.0,1.0,20XX,20XX,100.0,True,20xx,4c7117cadb714722950338f02850fd8d,14f073a7a4204943b830717c32e2c710,Batterystaple Games,Batterystaple,Batterystaple Games,14.99,1499.0,1499.0,USD,,2020-07-30T15:00:00.000Z,games | games/edition/base | games/edition | applications,"RELAXING, Cloud Saves, Challenging Combat, Windows, Co-op, Playful Visuals, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Rogue-Lite, Quickly Understand the Controls, Platformer, Great for Beginners","1188, 21894, 21129, 9547, 1264, 21136, 21138, 21139, 21140, 21141, 1083, 21149, 1151, 21119","20XX is a roguelike action platformer that you can play with a friend. Jump and shoot your way through ever-changing levels, collect awesome new powers, and battle mighty bosses in the name of saving the human race maybe!","If you like roguelikes or Mega Man, 20XX is for you!

20XX is a roguelike action platformer that you can play with a friend. Jump and shoot your way through ever-changing levels, collect awesome new powers, and battle mighty bosses in the name of saving the human race maybe!

20XX also features full co-op. Play with a friend on the couch or over the interwebs!

20XX supports 1-2 players locally or online - crossplay is supported between Epic and Steam.

# Features

Crisp, precise controls - do exactly what you want your character to!
Over 100 mighty powerups to collect!
Tons of different play modes and optional difficulty modifiers!
Seeded Daily and Weekly Challenges!
All gameplay features available in both single player and co-op! (online or local)

# Roguelike Elements

Random levels: each time you play 20XX, the stages you play through will be brand new!
Permanent death: each 20XX playthrough is a self-contained life! Death sends you back to HQ, where you can buy powerful upgrades for future runs. (There's also a Reverent Mode where you get three lives to make it through the game instead of one.)
Persistent Upgrades: as you play 20XX, you'll earn Soul Chips, which unlock powerful Permanent Upgrades and expand the pool of items that can you can find as you play!",
"3 out of 10, EP 1: ""Welcome To Shovelworks""",1,2020-08-06,2020-08-06,,,,,,,,,,,,,,,,,,,,,,3 out of 10 Episode 1: Welcome to Shovelworks,3-out-of-10-episode-1-welcome-to-shovelworks,2020-08-06,0.0,,PC,False,,,,,,,,,,,,"3 out of 10, EP 1: Welcome To Shovelworks",100.0,True,3-out-of-10-ep-1,d9090f3f39f64d5bb827c6e44b95cff0,eb38399025864ffb88a7e027d02502a8,"Terrible Posture Games, Inc.","Terrible Posture Games, Inc.","Terrible Posture Games, Inc.",0.0,0.0,0.0,USD,,2020-08-06T15:00:00.000Z,games | games/edition | games/edition/base | applications,"Action, Free to Play, Single Player, Windows","1216, 1141, 1370, 9547","Join the ongoing adventures of developers at the world's worst video game studio as they endure antics both absurd and topical. This week Midge joins Shovelworks Studios as a new animator, but not all is as it seems at the studio.","![More Info] (https://cdn2.unrealengine.com/egs-3outof10ep1welcometoshovelworks-terribleposturegamesinc-g2-00-1920x60-603847123.jpg)
# Will Shovelworks Studios ever make a game that scores better than a 3/10?

Welcome to the world's worst game dev studio. Part animated show, part game, 3 out of 10 is the world's first playable sitcom. We're 99% sure that's true. You can tell us if we're wrong. 

Season One is 5 episodes, released weekly, for FREE!

![Watch] (https://cdn2.unrealengine.com/egs-3outof10ep1welcometoshovelworks-terribleposturegamesinc-g2-01-1920x60-603847248.jpg)

Fully animated and voiced scenes pull you into the absurd world of Shovelworks.

![Play] (https://cdn2.unrealengine.com/egs-3outof10ep1welcometoshovelworks-terribleposturegamesinc-g2-02-1920x60-603847318.jpg)

Narratively driven mini games take you behind the scenes for a loving, satirical look at game development.

![Explore] (https://cdn2.unrealengine.com/egs-3outof10ep1welcometoshovelworks-terribleposturegamesinc-g2-03-1920x60-603847411.jpg)

Skip, replay, rewind at any time... experience the world of 3 out of 10 at your own pace.

![Season One] (https://cdn2.unrealengine.com/egs-3outof10ep1welcometoshovelworks-terribleposturegamesinc-g2-04-1920x60-603847526.jpg)",
3 out of 10: Season Two,1,2021-04-08,2021-04-08,8-15 April 2021,3 out of 10: Season Two,2021.0,https://ru.wikipedia.org/wiki/3_out_of_10:_Season_Two?action=edit&redlink=1,https://www.igromania.ru/news/104016/V_Epic_Games_Store_besplatno_otdayut_3_out_of_10_a_cherez_nedelyu_budut_srazu_3_proekta.html,,,,,,,,,,,,,,,,,3 out of 10: Season Two,3-out-of-10-season-two,2021-04-08,79.0,,PC,True,3 out of 10: Season Two,3.49,4.39,5.58,4.13,66.0,PC,2021.0,1.0,1.0,3 out of 10: Season Two,3 out of 10: Season Two,100.0,True,3-out-of-10-season-2,b829cfd910554ad3ad2eb3b314e2b1ef,9fc33e99abf342138323856854e745ec,"Terrible Posture Games, Inc.","Terrible Posture Games, Inc.","Terrible Posture Games, Inc.",0.0,0.0,0.0,USD,,2021-04-08T15:00:00.000Z,games/edition/base | games/edition | games | applications,"Single Player, Windows, Comedy, Adventure, Controller Support","1370, 9547, 1116, 1117, 9549","Caffeinated super-powers, sentient AIs, and rival game studios all stand in the way of Shovelworks studios as they struggle to finally make a game that scores better than “3 out of 10”. Will this be the Season that they finally do it?","![More Info](https://cdn2.unrealengine.com/egs-3outof10seasontwo-terribleposturegamesinc-g2-00-1920x60-bb4823380de6.jpg)

# Will Shovelworks Studios ever make a game that scores better than a 3/10?

Further antics and mis-adventures of the World’s Worst Game Developers ensue as the saga of “3 out of 10” continues. Caffeinated super-powers, sentient AIs, and rival game studios all stand in the way of Shovelworks studios as they struggle to finally make a game that scores better than “3 out of 10”. Will this be the Season that they finally do it?

![Watch](https://cdn2.unrealengine.com/egs-3outof10seasontwo-terribleposturegamesinc-g2-01-1920x60-941600068572.jpg)

Fully animated and voiced scenes pull you into the absurd world of Shovelworks.

![Play](https://cdn2.unrealengine.com/egs-3outof10seasontwo-terribleposturegamesinc-g2-02-1920x60-f92e340f6059.jpg)

Narratively driven mini games take you behind the scenes for a loving, satirical look at game development.

![Explore](https://cdn2.unrealengine.com/egs-3outof10seasontwo-terribleposturegamesinc-g2-03-1920x60-5ddf5232dde3.jpg)

Skip, replay, rewind at any time... experience the world of 3 out of 10 at your own pace.

![Season Two](https://cdn2.unrealengine.com/egs-3outof10seasontwo-terribleposturegamesinc-g2-04-1920x60-3a55e40c46fc.jpg)",
911 Operator,2,2023-09-14,2026-04-23,14-21 September 2023,911 Operator,2023.0,https://ru.wikipedia.org/wiki/911_Operator,https://dtf.ru/sale/2114159-v-epic-games-store-startovala-razdacha-911-operator-simulyatora-dispetchera-ekstrennyh-sluzhb,https://en.wikipedia.org/wiki/911_Operator,,,,,,,,,,,,,,"A dispatcher is a communications worker who receives and transmits information to coordinate operations of other personnel and vehicles carrying out a service. Emergency organizations including police departments , fire departments , and emergency medical services departments as well as civilian organizations such as motorcycle couriers , taxicab providers, trucking companies , railroads , bus systems, and public utility companies, use dispatchers to relay information, direct personnel, and coordinate their operations.",,911 Operator,911-operator,2017-02-24,68.0,,"PC, Xbox One, PlayStation 4, iOS (iPhone/iPad), Nintendo Switch",True,911 Operator,6.34,10.41,21.38,9.21,64.0,"Mobile, Nintendo Switch, PC",2017.0,1.0,1.0,911 Operator,911 Operator,100.0,True,,d923c737f0d243ccab407605ea40d39e,268fd6ea355740d6ba4c76c3ffd4cbe0,Games Operators S.A.,,Games Operators S.A.,14.99,1499.0,299.0,USD,,2023-09-14T15:00:00.000Z,games | games/edition | games/edition/base,"Great for Quick Sessions, RELAXING, Achievements, Windows, Indie, Simulation, Unique Visuals, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Single Player, Educational, Strategy, Quickly Understand the Controls, Great for Beginners","21121, 1188, 19847, 9547, 1263, 1393, 21137, 21138, 21139, 21140, 21141, 1370, 21146, 1115, 21149, 21119","A game about the difficult work of people that manage emergency services. Answer incoming calls and react properly - give first aid instructions, advise, dispatch the correct number of firemen/police/ambulances, or sometimes - just ignore the call. Play on ANY CITY in the world!",,no product page (opaque/missing slug); developer unavailable
>observer_,1,2019-10-17,2019-10-17,,,,,,,,,,,,,,,,,,,,,,Observer,observer,2017-08-15,78.0,M,"PC, Xbox One, PlayStation 4, Nintendo Switch",True,Observer,6.93,8.7,11.47,7.88,71.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,>observer_,>observer_,100.0,True,observer,epic,674c5786721a4f24a99d89199948acc3,"Aspyr Media, Inc.",,"Aspyr Media, Inc.",29.99,2999.0,2999.0,USD,,2019-05-09T08:00:00.000Z,games,"Horror, Investigation, Single Player, Windows, OSX, First Person","1218, 1127, 1370, 9547, 9548, 1294",>observer_,,no product page (opaque/missing slug); developer unavailable
A Game Of Thrones: The Board Game Digital Edition,1,2022-06-23,2022-06-23,,,,,,,,,,,,,,,,,,,,,,A Game of Thrones: The Board Game - Digital Edition,a-game-of-thrones-the-board-game-digital-edition,2020-10-06,0.0,,"PC, iOS (iPhone/iPad)",False,,,,,,,,,,,,A Game Of Thrones: The Board Game Digital Edition,100.0,True,,1b737464d3c441f8956315433be02d3b,a125d72a47a1490aba78c4e79a40395d,TWIN SAILS INTERACTIVE,,TWIN SAILS INTERACTIVE,19.99,1999.0,1999.0,USD,,2022-06-23T15:00:00.000Z,games | games/edition | games/edition/base,"Online Multiplayer, Recommend this Game, Amazing Characters, RELAXING, Amazing Storytelling, Competitive Community, Extremely Fun, Achievements, Single Player, Windows, Strategy, Quickly Understand the Controls","29088, 21138, 21139, 1188, 21140, 21125, 21141, 19847, 1370, 9547, 1115, 21149",It is the digital adaptation of the top-selling strategy board game from Fantasy Flight Games.,,no product page (opaque/missing slug); developer unavailable
A Plague Tale: Innocence,4,2021-08-05,2024-01-03,5-12 August 2021,A Plague Tale: Innocence,2021.0,https://ru.wikipedia.org/wiki/A_Plague_Tale:_Innocence,https://www.igromania.ru/news/107386/V_Epic_Games_Store_besplatno_otdayut_A_Plague_Tale_Innocence_i_Minit.html,https://en.wikipedia.org/wiki/A_Plague_Tale%3A_Innocence,Asobo Studio,Focus Home Interactive,"PS4, Windows, Xbox One, 14 May 2019, NS, PS5, Xbox Series X/S, 6 July 2021",,Zouna,,Olivier Ponsonnet,Olivier Deriviere,,Kevin Choteau,Sébastien Renard,Alain Guyet,Single-player,"A Plague Tale: Innocence is an action-adventure stealth game developed by Asobo Studio and published by Focus Home Interactive . The game was released for PlayStation 4 , Windows , and Xbox One in May 2019. It was made available on the cloud-based service Amazon Luna in November 2020. The PlayStation 5 and Xbox Series X/S versions of the game were released in July 2021, alongside a cloud version for the Nintendo Switch .","Set in mid-14th century Aquitaine , France, during the Hundred Years' War , the game focuses on the plight of Amicia de Rune and her ill brother Hugo as they flee from soldiers of the French Inquisition and from hordes of rats that are spreading the black plague . The player controls Amicia, using a combination of stealth and limited tools to hide from, distract, or knock out soldiers, evade rat hordes, and solve puzzles, incorporating elements of survival horror games.

A Plague Tale: Innocence received generally positive reviews from critics and sold over one million units by July 2020. A sequel, A Plague Tale: Requiem , was released in 2022.",A Plague Tale: Innocence,a-plague-tale-innocence,2019-05-14,81.0,M,"PlayStation 4, Xbox One, PC, Nintendo Switch, PlayStation 5, Xbox Series X",True,A Plague Tale: Innocence,10.94,12.58,15.95,12.29,80.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2019.0,1.0,1.0,A Plague Tale: Innocence,A Plague Tale: Innocence,100.0,True,a-plague-tale-innocence,71d19da3678943098859baa9c4c39f95,89e949b9176d4f04a5b2e6ca28655b21,Focus Entertainment Publishing,Asobo Studio,Focus Entertainment,39.99,3999.0,3999.0,USD,,2021-08-05T15:00:00.000Z,games | games/edition | games/edition/base | applications,"Action, Diverse Characters, RELAXING, Cloud Saves, Creative Community, Windows, Recommend this Game, Amazing Characters, Amazing Storytelling, Great Boss Battles, Extremely Fun, Single Player, Educational, Adventure, Quickly Understand the Controls, Great for Beginners","1216, 21122, 1188, 21894, 21127, 9547, 21138, 21139, 21140, 21109, 21141, 1370, 21146, 1117, 21149, 21119","Follow the grim tale of young Amicia and her little brother Hugo, in a heartrending journey through the darkest hours of history. Hunted by Inquisition soldiers and surrounded by unstoppable swarms of rats, they will come to know and trust each other.","Rock Paper Shotgun - “Cinematic delights every step of the way”
IGN - “A Plague Tale’s story is immediately compelling”
Telegraph - “Gripping, heartbreaking”


Follow the grim tale of young Amicia and her little brother Hugo, in a heartrending journey through the darkest hours of history. Hunted by Inquisition soldiers and surrounded by unstoppable swarms of rats, Amicia and Hugo will come to know and trust each other. As they struggle to survive against overwhelming odds, they will fight to find purpose in this brutal, unforgiving world.",
