FROM,TO,DAY,DAYS,TYPE,Title_gsheets,NOTES,COLOR_CATEGORY,Date,Title_wiki,Year,Game Wiki Link,Source Links,Original_Title,HLTB_Found,HLTB_Game_Name,HLTB_Main_Story,HLTB_Main_Extra,HLTB_Completionist,HLTB_All_Styles,HLTB_Review_Score,HLTB_Platforms,HLTB_Release_World,HLTB_Similarity,HLTB_Match_Score,HLTB_Query_Used
2026-04-23 00:00:00,2026-04-30 00:00:00,Thursday,7,next,DOOMBLADE,,FFD0E0E3,,,,,,DOOMBLADE,True,DOOMBLADE,10.83,13.2,16.62,13.88,72.0,PC,2023.0,1.0,1.0,DOOMBLADE
2026-04-16 00:00:00,2026-04-23 00:00:00,Thursday,7,mobile,Broken Sword : Reforged,,FFF4CCCC,,,,,,Broken Sword : Reforged,False,,,,,,,,,,,
2026-04-16 00:00:00,2026-04-23 00:00:00,Thursday,7,,The Stone of Madness,,FFD0E0E3,16-23 April 2026,The Stone of Madness,2026.0,https://ru.wikipedia.org/wiki/The_Stone_of_Madness,https://www.igromania.ru/news/165707/v-epic-games-store-stali-besplatno-otdavat-stels-strategiyu-the-stone-of-madness/,The Stone of Madness,True,The Stone of Madness,26.27,31.17,0.0,27.5,70.0,"Nintendo Switch, PC, PlayStation 5, Xbox One",2025.0,1.0,1.0,The Stone of Madness
2026-04-09 00:00:00,2026-04-16 00:00:00,Thursday,7,mobile,Dumb Ways to Draw,,FFF4CCCC,,,,,,Dumb Ways to Draw,True,Dumb Ways to Draw,0.0,0.0,0.0,0.0,0.0,Mobile,2019.0,1.0,1.0,Dumb Ways to Draw
2026-04-09 00:00:00,2026-04-16 00:00:00,Thursday,7,,Prop Sumo,,FFD0E0E3,9-16 April 2026,Prop Sumo,2026.0,https://ru.wikipedia.org/w/index.php?title=Prop_Sumo&action=edit&redlink=1,https://www.polygon.com/epic-games-store-free-game-4-9-2026-prop-sumo/,Prop Sumo,True,Prop Sumo,0.0,0.0,0.0,0.0,20.0,PC,2026.0,1.0,1.0,Prop Sumo
2026-04-02 00:00:00,2026-04-09 00:00:00,Thursday,7,mobile,Dumb Ways to Die 2: The Games,,FFF4CCCC,,,,,,Dumb Ways to Die 2: The Games,True,Dumb Ways to Die 2: The Games,8.72,0.0,0.0,8.72,57.0,Mobile,2014.0,1.0,1.0,Dumb Ways to Die 2: The Games
2026-04-02 00:00:00,2026-04-09 00:00:00,Thursday,7,,Clone Drone in the Danger Zone,,FFD0E0E3,2-9 April 2026,Clone Drone in the Danger Zone,2026.0,https://ru.wikipedia.org/w/index.php?title=Clone_Drone_in_the_Danger_Zone&action=edit&redlink=1,https://vgtimes.ru/gaming-news/152484-clone-drone-in-the-danger-zone.html,Clone Drone in the Danger Zone,True,Clone Drone in the Danger Zone,2.12,15.09,37.91,6.91,72.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2017.0,1.0,1.0,Clone Drone in the Danger Zone
2026-04-02 00:00:00,2026-04-16 00:00:00,Thursday,14,other,TOMAK: Save the Earth Regeneration,to celebrate the 25th anniversary,FFD0E0E3,,,,,,TOMAK: Save the Earth Regeneration,False,,,,,,,,,,,
2026-03-26 00:00:00,2026-04-02 00:00:00,Thursday,7,mobile,The Wreck,,FFF4CCCC,,,,,,The Wreck,True,The Wreck,4.48,4.76,4.8,4.58,74.0,"Mac, Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2023.0,1.0,1.0,The Wreck
2026-03-26 00:00:00,2026-04-02 00:00:00,Thursday,7,,Havendock,,FFD0E0E3,26 March - 2 April 2026,Havendock,2026.0,https://ru.wikipedia.org/w/index.php?title=Havendock&action=edit&redlink=1,https://www.igromania.ru/news/165212/v-epic-games-store-stali-besplatno-otdavat-simulyator-havendock-i-ekshen-hyper-echelon/,Havendock,True,Havendock,22.02,27.74,27.95,24.53,57.0,PC,2023.0,1.0,1.0,Havendock
