title,from_date,giveaway_year,is_repeat,is_standalone_game,egs_meets_threshold,egs_original_price_usd,egs_publisher,egs_tags,mc_criticScore,hltb_main_story
Firestone Online Idle RPG - Special Offer,2026-04-30,2026,False,False,False,,,,,
Oddsparks: An Automation Adventure,2026-04-30,2026,False,True,True,29.99,Handy Games,"Online Multiplayer, Diverse Characters, RELAXING, Cloud Saves, Achievements, Creative Community, Windows, Indie, Co-op, Playful Visuals, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Single Player, Educational, Strategy, Adventure, Quickly Understand the Controls, Great for Beginners",,79.97
911 Operator,2026-04-23,2026,False,True,True,14.99,Games Operators S.A.,"Great for Quick Sessions, RELAXING, Achievements, Windows, Indie, Simulation, Unique Visuals, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Single Player, Educational, Strategy, Quickly Understand the Controls, Great for Beginners",68.0,6.34
DOOMBLADE,2026-04-23,2026,False,True,True,14.99,Iceberg Interactive,"Action, Great Boss Battles, Single Player, Windows, Controller Support",83.0,10.83
Broken Sword : Reforged,2026-04-16,2026,False,True,True,29.99,Revolution Software,"Puzzle, Cloud Saves, Achievements, Single Player, Windows, Comedy, Adventure, Controller Support, Mac OS",84.0,
The Stone of Madness,2026-04-16,2026,False,True,True,29.99,Tripwire Interactive,"Diverse Characters, Cloud Saves, Achievements, Challenging Combat, Windows, Controller Support, Puzzle, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Single Player, Strategy, Stealth, Quickly Understand the Controls, Challenging Puzzles",73.0,26.27
Dumb Ways to Draw,2026-04-09,2026,False,True,False,,,,,0.0
Prop Sumo,2026-04-09,2026,False,True,True,9.99,Barrel Roll Games GmbH & Co. KG,"Action, Casual, Fighting, Online Multiplayer, Cloud Saves, Achievements, Cross Platform, Windows, Controller Support",,0.0
Dumb Ways to Die 2: The Games,2026-04-02,2026,False,True,False,,,,,8.72
Clone Drone in the Danger Zone,2026-04-02,2026,False,True,True,19.99,Doborog LLC,"Action, Fighting, Online Multiplayer, Great for Quick Sessions, Diverse Characters, Cloud Saves, Achievements, Promotional Content, Challenging Combat, Windows, Indie, Co-op, Recommend this Game, Competitive, Amazing Characters, Amazing Storytelling, Great Boss Battles, Extremely Fun, Cross Platform, Single Player, Quickly Understand the Controls, Great for Beginners",82.0,2.12
TOMAK: Save the Earth Regeneration,2026-04-02,2026,False,True,True,8.99,NETMARBLE MONSTER,"Casual, Simulation, Promotional Content, Single Player, Windows, Retro",,
The Wreck,2026-03-26,2026,False,True,False,,,,,4.48
Havendock,2026-03-26,2026,False,True,True,19.99,Pretty Soon S.A.,"RELAXING, Cloud Saves, Achievements, Easy Combat, Windows, Indie, Casual, Playful Visuals, Simulation, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Single Player, Quickly Understand the Controls, Mac OS, Great for Beginners",,22.02
Hyper Echelon,2026-03-26,2026,False,True,True,12.99,GangoGames LLC,"Space, Great for Quick Sessions, RELAXING, Achievements, Challenging Combat, Windows, Controller Support, Retro, Co-op, Playful Visuals, Recommend this Game, Extremely Fun, Shooter, Single Player, Quickly Understand the Controls, Local Multiplayer, Great for Beginners",,9.83
Potion Permit,2026-03-19,2026,False,True,True,19.99,PQube,"Casual, Simulation, Cloud Saves, RPG, Achievements, Single Player, Windows, Inclusive Character Customization",74.0,20.91
Electrician Simulator,2026-03-19,2026,False,True,True,19.99,Gaming Factory,"Simulation, Cloud Saves, Achievements, Single Player, Windows, First Person, Indie",60.0,7.26
World of Warships — Epic Anniversary Tachibana Pack,2026-03-19,2026,False,False,False,,,,81.0,
Wonder Boy: The Dragon's Trap,2026-03-12,2026,False,True,False,,,,79.0,5.07
Cozy Grove,2026-03-12,2026,False,True,True,14.99,Spry Fox,"Diverse Characters, RELAXING, Kind Community, Cloud Saves, Investigation, Easy Combat, Windows, Controller Support, Indie, Casual, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Single Player, Quickly Understand the Controls, Great for Beginners",71.0,73.2
Isonzo,2026-03-12,2026,False,True,True,29.99,BlackMill Games,"Recommend this Game, Amazing Characters, Amazing Storytelling, Competitive Community, Extremely Fun, Challenging Combat, Quickly Understand the Controls, Realistic Visuals",67.0,12.1
Little Nightmares,2026-03-05,2026,False,True,False,,,,78.0,3.57
Idle Champions of the Forgotten Realms - Raistlin's Renown Pack,2026-03-05,2026,False,False,False,,,,,
Idle Champions of the Forgotten Realms - Dragonlance Pack,2026-03-05,2026,False,False,False,,,,,
