,Number,Name,Start,End,Link
0,477,The Bridge,3/14/2024,3/21/2024,https://store.epicgames.com/en-US/p/the-bridge
1,476,Deus Ex: Mankind Divided,3/14/2024,3/21/2024,https://store.epicgames.com/en-US/p/deus-ex-mankind-divided-4c6370
2,475,Astro Duel 2,3/7/2024,3/14/2024,https://store.epicgames.com/en-US/p/astro-duel-2-e1261d
3,474,Aerial_Knight’s Never Yield,2/29/2024,3/7/2024,https://store.epicgames.com/en-US/p/aerial-knights-never-yield
4,473,Super Meat Boy Forever,2/22/2024,2/29/2024,https://store.epicgames.com/en-US/p/super-meat-boy-forever
5,472,Dakar Desert Rally,2/15/2024,2/22/2024,https://store.epicgames.com/en-US/p/dakar-desert-rally
6,471,Lost Castle,2/8/2024,2/15/2024,https://store.epicgames.com/en-US/p/lost-castle-abb2e2
7,470,Doki Doki Literature Club Plus!,2/8/2024,2/15/2024,https://store.epicgames.com/en-US/p/doki-doki-literature-club-plus
8,469,Doors: Paradox,2/1/2024,2/8/2024,https://store.epicgames.com/en-US/p/doors-paradox-5896c7
9,468,Infinifactory,1/25/2024,2/1/2024,https://store.epicgames.com/en-US/p/infinifactory-ec9686
10,467,Love,1/18/2024,1/25/2024,https://store.epicgames.com/en-US/p/love-65c4d0
11,466,Sail Forth,1/11/2024,1/18/2024,https://store.epicgames.com/en-US/p/sail-forth-51847e
12,465,Marvel’s Guardians of the Galaxy,1/4/2024,1/11/2024,https://store.epicgames.com/en-US/p/marvels-guardians-of-the-galaxy
13,464,A Plague Tale: Innocence,1/3/2024,1/4/2024,https://store.epicgames.com/en-US/p/a-plague-tale-innocence
14,463,20 Minutes Till Dawn,1/2/2024,1/3/2024,https://store.epicgames.com/en-US/p/20-minutes-till-dawn-be3305
15,462,Escape Academy,1/1/2024,1/2/2024,https://store.epicgames.com/en-US/p/escape-academy-bfc2bf
16,461,Ghostrunner,12/31/2023,1/1/2024,https://store.epicgames.com/en-US/p/ghostrunner
17,460,Saints Row,12/30/2023,12/31/2023,https://store.epicgames.com/en-US/p/saints-row
18,459,Snakebird Complete,12/29/2023,12/30/2023,https://store.epicgames.com/en-US/p/snakebird-complete-e6f0ae
19,458,Cat Quest,12/28/2023,12/29/2023,https://store.epicgames.com/en-US/p/cat-quest-8373e0
20,457,Cursed to Golf,12/27/2023,12/28/2023,https://store.epicgames.com/en-US/p/cursed-to-golf-a6bc22
21,456,Human Resource Machine,12/26/2023,12/27/2023,https://store.epicgames.com/en-US/p/human-resource-machine
22,455,The Outer Worlds: Spacer’s Choice Edition,12/25/2023,12/26/2023,https://store.epicgames.com/en-US/p/the-outer-worlds-spacers-choice-edition
23,454,Ghostwire: Tokyo,12/24/2023,12/25/2023,https://store.epicgames.com/en-US/p/ghostwire-tokyo
24,453,Fallout 3: Game of the Year Edition,12/23/2023,12/24/2023,https://store.epicgames.com/en-US/p/fallout-3-game-of-the-year-edition
25,452,Art of Rally,12/22/2023,12/23/2023,https://store.epicgames.com/en-US/p/art-of-rally
26,451,Melvor Idle,12/21/2023,12/22/2023,https://store.epicgames.com/en-US/p/melvor-idle-b6a9b3
27,450,DNF Duel,12/20/2023,12/21/2023,https://store.epicgames.com/en-US/p/dnf-duel-07d055
28,449,Destiny 2: Legacy Collection,12/13/2023,12/20/2023,https://store.epicgames.com/en-US/p/destiny-2--legacy-collection-2023
29,448,Predecessor,12/7/2023,12/13/2023,https://store.epicgames.com/en-US/p/predecessor
30,447,GigaBash,12/7/2023,12/13/2023,https://store.epicgames.com/en-US/p/gigabash
31,446,Mighty Fight Federation,11/30/2023,12/7/2023,https://store.epicgames.com/en-US/p/mighty-fight-federation
32,445,Jitsu Squad,11/30/2023,12/7/2023,https://store.epicgames.com/en-US/p/jitsu-squad-af3f2f
33,444,Deliver Us Mars,11/23/2023,11/30/2023,https://store.epicgames.com/en-US/p/deliver-us-mars
34,443,Surviving the Aftermath,11/16/2023,11/23/2023,https://store.epicgames.com/en-US/p/surviving-the-aftermath
35,442,Earthlock,11/16/2023,11/23/2023,https://store.epicgames.com/en-US/p/earthlock-e7d979
36,441,Golden Light,11/9/2023,11/16/2023,https://store.epicgames.com/en-US/p/golden-light-f543b3
37,440,Turnip Boy Commits Tax Evasion,11/2/2023,11/9/2023,https://store.epicgames.com/en-US/p/turnip-boy-commits-tax-evasion-fb2084
38,439,The Evil Within 2,10/26/2023,11/2/2023,https://store.epicgames.com/en-US/p/the-evil-within-2
39,438,Tandem: A Tale of Shadows,10/26/2023,11/2/2023,https://store.epicgames.com/en-US/p/tandem-a-tale-of-shadows-c3f55e
40,437,The Evil Within,10/19/2023,10/26/2023,https://store.epicgames.com/en-US/p/the-evil-within
41,436,Eternal Threads,10/19/2023,10/26/2023,https://store.epicgames.com/en-US/p/eternal-threads-197169
42,435,Q.U.B.E. 2 Season Pass,10/12/2023,10/19/2023,https://store.epicgames.com/en-US/bundles/qube-ultimate-bundle
43,434,Q.U.B.E. 2,10/12/2023,10/19/2023,https://store.epicgames.com/en-US/bundles/qube-ultimate-bundle
44,433,Q.U.B.E. 10th Anniversary,10/12/2023,10/19/2023,https://store.epicgames.com/en-US/bundles/qube-ultimate-bundle
45,432,Blazing Sails,10/12/2023,10/19/2023,https://store.epicgames.com/en-US/p/blazing-sails
46,431,Godlike Burger,10/5/2023,10/12/2023,https://epicgames.com/product/godlike-burger-4150a0
47,430,Soulstice,9/28/2023,10/5/2023,https://store.epicgames.com/en-US/p/soulstice
48,429,Model Builder,9/28/2023,10/5/2023,https://store.epicgames.com/en-US/p/model-builder-f9b456
49,428,The Forest Quartet,9/21/2023,9/28/2023,https://store.epicgames.com/en-US/p/forest-quartet-5d03e3
50,427,Out of Line,9/21/2023,9/28/2023,https://store.epicgames.com/en-US/p/out-of-line-209cbb
51,426,911 Operator,9/14/2023,9/21/2023,https://store.epicgames.com/en-US/p/911-operator-585edd
52,425,Spelldrifter,9/7/2023,9/14/2023,https://store.epicgames.com/en-US/p/spelldrifter
53,424,Cave Story+,8/31/2023,9/7/2023,https://store.epicgames.com/en-US/p/cave-story-plus
54,423,Homeworld: Deserts of Kharak,8/24/2023,8/31/2023,https://store.epicgames.com/en-US/p/homeworld-deserts-of-kharak
55,422,Dodo Peak,8/17/2023,8/24/2023,https://store.epicgames.com/en-US/p/dodo-peak-159276
56,421,Black Book,8/17/2023,8/24/2023,https://store.epicgames.com/en-US/p/black-book
57,420,Orwell: Keeping an Eye on You,8/10/2023,8/17/2023,https://store.epicgames.com/en-US/p/orwell-keeping-an-eye-on-you
58,419,Europa Universalis IV,8/10/2023,8/17/2023,https://epicgames.com/product/europa-universalis-iv
59,418,Loop Hero,8/3/2023,8/10/2023,https://store.epicgames.com/en-US/p/loop-hero
60,417,Bloons TD 6,8/3/2023,8/10/2023,https://store.epicgames.com/en-US/p/bloons-td-6-bf95a0
61,416,Severed Steel,7/27/2023,8/3/2023,https://store.epicgames.com/en-US/p/severed-steel
62,415,Homeworld Remastered Collection,7/27/2023,8/3/2023,https://store.epicgames.com/en-US/p/homeworld-remastered-collection
63,414,The Elder Scrolls Online,7/20/2023,7/27/2023,https://store.epicgames.com/en-US/p/the-elder-scrolls-online
64,413,Murder by Numbers,7/20/2023,7/27/2023,https://store.epicgames.com/en-US/p/murder-by-numbers
65,412,Train Valley 2,7/13/2023,7/20/2023,https://store.epicgames.com/en-US/p/train-valley-2-3606da
66,411,Grime,7/6/2023,7/13/2023,https://store.epicgames.com/en-US/p/grime
67,410,The Dungeon of Naheulbeuk: The Amulet of Chaos,6/29/2023,7/6/2023,https://store.epicgames.com/en-US/p/the-dungeon-of-naheulbeuk
68,409,theHunter: Call of the Wild,6/22/2023,6/29/2023,https://store.epicgames.com/en-US/p/thehunter-call-of-the-wild
69,408,Idle Champions of the Forgotten Realms,6/22/2023,6/29/2023,https://store.epicgames.com/en-US/p/idle-champions-of-the-forgotten-realms
70,407,Guacamelee! 2,6/15/2023,6/22/2023,https://store.epicgames.com/en-US/p/guacamelee-2-ac4977
71,406,Guacamelee! Super Turbo Championship Edition,6/15/2023,6/22/2023,https://store.epicgames.com/en-US/p/guacamelee-stce-7cdbc8
72,405,Payday 2,6/8/2023,6/15/2023,https://store.epicgames.com/en-US/p/payday-2-c66369
73,404,Midnight Ghost Hunt,6/1/2023,6/8/2023,https://store.epicgames.com/en-US/p/midnight-ghost-hunt
74,403,Fallout: New Vegas Ultimate Edition,5/25/2023,6/1/2023,https://store.epicgames.com/en-US/p/fallout-new-vegas--ultimate-edition
75,402,Death Stranding,5/18/2023,5/25/2023,https://store.epicgames.com/en-US/p/death-stranding
76,401,The Sims 4 The Daring Lifestyle Bundle,5/11/2023,5/18/2023,https://store.epicgames.com/en-US/p/the-sims-4--the-daring-lifestyle-bundle
77,400,Kao the Kangaroo,5/4/2023,5/11/2023,https://store.epicgames.com/en-US/p/kao-the-kangaroo-62abe3
78,399,Horizon Chase Turbo,5/4/2023,5/11/2023,https://store.epicgames.com/en-US/p/horizon-chase-turbo
79,398,Against All Odds,5/4/2023,5/11/2023,https://store.epicgames.com/en-US/p/against-all-odds-409105
80,397,Poker Club,4/27/2023,5/4/2023,https://store.epicgames.com/en-US/p/poker-club-6e18ee
81,396,Breathedge,4/27/2023,5/4/2023,https://store.epicgames.com/en-US/p/breathedge
82,395,Never Alone (Kisima Ingitchuna),4/20/2023,4/27/2023,https://store.epicgames.com/en-US/p/never-alone-kisima-ingitchuna
83,394,Beyond Blue,4/20/2023,4/27/2023,https://store.epicgames.com/en-US/p/beyond-blue
84,393,Second Extinction,4/13/2023,4/20/2023,https://store.epicgames.com/en-US/p/second-extinction
85,392,Mordhau,4/13/2023,4/20/2023,https://store.epicgames.com/en-US/p/mordhau
86,391,Dying Light: The Following – Enhanced Edition,4/6/2023,4/13/2023,https://store.epicgames.com/en-US/p/dying-light
87,390,shapez,4/6/2023,4/13/2023,https://store.epicgames.com/en-US/p/shapez-0929c9
88,389,Tunche,3/30/2023,4/6/2023,https://store.epicgames.com/en-US/p/tunche
89,388,The Silent Age,3/30/2023,4/6/2023,https://store.epicgames.com/en-US/p/the-silent-age-eb6972
90,387,World of Warships – Starter Pack: Ishizuchi,3/23/2023,3/30/2023,https://store.epicgames.com/en-US/p/world-of-warships--starter-pack-ishizuchi
91,386,Chess Ultra,3/23/2023,3/30/2023,https://store.epicgames.com/en-US/p/chess-ultra-91bba3
92,385,"Warhammer 40,000: Gladius – Relics of War",3/16/2023,3/23/2023,https://store.epicgames.com/en-US/p/warhammer-40000-gladius-relics-of-war
93,384,Call of the Sea,3/9/2023,3/16/2023,https://store.epicgames.com/en-US/p/call-of-the-sea
94,383,Rise of Industry,3/2/2023,3/9/2023,https://store.epicgames.com/en-US/p/rise-of-industry-0af838
95,382,Duskers,2/23/2023,3/2/2023,https://store.epicgames.com/en-US/p/duskers-672fdc
96,381,Warpips,2/16/2023,2/23/2023,https://store.epicgames.com/en-US/p/warpips-57e2c4
97,380,Recipe for Disaster,2/9/2023,2/16/2023,https://store.epicgames.com/en-US/p/recipe-for-disaster-83726f
98,379,Dishonored: Death of the Outsider,2/2/2023,2/9/2023,https://store.epicgames.com/en-US/p/dishonored-death-of-the-outsider
99,378,City of Gangsters,2/2/2023,2/9/2023,https://store.epicgames.com/en-US/p/city-of-gangsters-6c2974
100,377,Hell Is Others,1/26/2023,2/2/2023,https://store.epicgames.com/en-US/p/hell-is-others-789262
101,376,Adios,1/26/2023,2/2/2023,https://store.epicgames.com/en-US/p/adios-b378b4
102,375,Epistory: Typing Chronicles,1/19/2023,1/26/2023,https://store.epicgames.com/en-US/p/epistory-typing-chronicles-445794
103,374,Gamedec: Definitive Edition,1/12/2023,1/19/2023,https://store.epicgames.com/en-US/p/gamedec
104,373,First Class Trouble,1/12/2023,1/19/2023,https://store.epicgames.com/en-US/p/first-class-trouble
105,372,Divine Knockout,1/12/2023,1/19/2023,https://store.epicgames.com/en-US/p/divine-knockout--standard
106,371,Shadow Tactics: Aiko’s Choice,1/5/2023,1/12/2023,https://store.epicgames.com/en-US/p/shadow-tactics-aikos-choice-5678c1
107,370,Kerbal Space Program,1/5/2023,1/12/2023,https://store.epicgames.com/en-US/p/kerbal-space-program
108,369,Eximius: Seize the Frontline,12/29/2022,1/5/2023,https://store.epicgames.com/en-US/p/eximius-seize-the-frontline
109,368,Dishonored: Definitive Edition,12/29/2022,1/5/2023,https://store.epicgames.com/en-US/p/dishonored-definitive-edition
110,367,Mortal Shell,12/28/2022,12/29/2022,https://store.epicgames.com/en-US/p/mortal-shell
111,366,Severed Steel,12/27/2022,12/28/2022,https://store.epicgames.com/en-US/p/severed-steel
112,365,F.I.S.T.: Forged in Shadow Torch,12/26/2022,12/27/2022,https://store.epicgames.com/en-US/p/fist-forged-in-shadow-torch
113,364,Death Stranding,12/25/2022,12/26/2022,https://store.epicgames.com/en-US/p/death-stranding
114,363,Metro: Last Light Redux,12/24/2022,12/25/2022,https://store.epicgames.com/en-US/p/metro-last-light-redux
115,362,Encased,12/23/2022,12/24/2022,https://store.epicgames.com/en-US/p/encased
