FROM,TO,DAY,DAYS,TYPE,NAME,NAME / NOTES,test_reason,Date,Title,Year,Game Wiki Link,Source Links
NA,NA,NA,NA,-,NA,Destiny 2: Beyond Light,g: days-type-notes combos,NA,NA,NA,NA,NA
NA,NA,NA,NA,-,NA,Destiny 2: Shadowkeep,g: days-type-notes combos,NA,NA,NA,NA,NA
NA,NA,NA,NA,-,NA,The Sims 4 - Jungle Adventure Game Pack,g: days-type-notes combos,NA,NA,NA,NA,NA
NA,NA,NA,NA,-,NA,The Sims 4 - Luxury Party Stuff Pack,g: days-type-notes combos,NA,NA,NA,NA,NA
2019-12-24T00:00:00Z,2019-12-25T00:00:00Z,Tuesday,1,dupe,Celeste,NA,g: days-type-notes combos,NA,NA,NA,NA,NA
2021-12-26T00:00:00Z,2021-12-27T00:00:00Z,Sunday,1,dupe,Control,NA,g: days-type-notes combos,NA,NA,NA,NA,NA
2024-08-29T00:00:00Z,2024-09-05T00:00:00Z,Thursday,7,dupe,Fallout® Classic Collection,Fallout: A Post Nuclear Role Playing Game,g: days-type-notes combos,NA,NA,NA,NA,NA
2023-08-31T00:00:00Z,2023-09-07T00:00:00Z,Thursday,7,dupe,Cave Story+,NA,g: days-type-notes combos,NA,NA,NA,NA,NA
2021-04-22T00:00:00Z,2021-04-29T00:00:00Z,Thursday,7,dupe,Alien: Isolation,NA,g: days-type-notes combos,NA,NA,NA,NA,NA
NA,NA,NA,NA,dupe,Cat Quest,Epic Games Store Spring Sale 2025,g: days-type-notes combos,NA,NA,NA,NA,NA
NA,NA,NA,NA,dupe,NA,Fallout 2: A Post Nuclear Role Playing Game,g: days-type-notes combos,NA,NA,NA,NA,NA
NA,NA,NA,NA,dupe,NA,Fallout Tactics: Brotherhood of Steel,g: days-type-notes combos,NA,NA,NA,NA,NA
NA,NA,NA,NA,dupe,Figment,NA,g: days-type-notes combos,NA,NA,NA,NA,NA
NA,NA,NA,NA,dupe,Kingdom: New Lands,NA,g: days-type-notes combos,NA,NA,NA,NA,NA
2025-05-04T00:00:00Z,2025-05-05T00:00:00Z,Sunday,1,dupe2,LEGO® Star Wars™: The Skywalker Saga,Star Wars day: May the 4th be with you,g: days-type-notes combos,NA,NA,NA,NA,NA
2024-05-23T00:00:00Z,2024-05-30T00:00:00Z,Thursday,7,dupe2,"Warhammer 40,000: Gladius - Relics of War",Warhammer Skulls 2024 Event,g: days-type-notes combos,NA,NA,NA,NA,NA
2025-12-25T00:00:00Z,2026-01-01T00:00:00Z,Thursday,7,dupe3,Monument Valley,NA,g: days-type-notes combos,NA,NA,NA,NA,NA
2025-09-25T00:00:00Z,2025-10-02T00:00:00Z,Thursday,7,dupe3,Eastern Exorcist,NA,g: days-type-notes combos,NA,NA,NA,NA,NA
NA,NA,NA,NA,dupe3,Monument Valley 2,NA,g: days-type-notes combos,NA,NA,NA,NA,NA
2022-09-01T00:00:00Z,2022-09-08T00:00:00Z,Thursday,7,free,Knockout City,NA,g: days-type-notes combos,NA,NA,NA,NA,NA
2020-08-06T00:00:00Z,2020-08-13T00:00:00Z,Thursday,7,free,"3 out of 10, EP 1: ""Welcome To Shovelworks""",NA,g: days-type-notes combos,NA,NA,NA,NA,NA
NA,NA,NA,NA,free,Town of Salem 2,NA,g: days-type-notes combos,NA,NA,NA,NA,NA
2025-01-24T00:00:00Z,2025-02-20T00:00:00Z,Friday,27,mobile,Bloons TD 6,NA,g: days-type-notes combos,NA,NA,NA,NA,NA
2025-03-20T00:00:00Z,2025-04-17T00:00:00Z,Thursday,28,mobile,Eastern Exorcist,NA,g: days-type-notes combos,NA,NA,NA,NA,NA
