title,from_date,to_date,source_sheet_row,egs_match_title,mc_title,hltb_game_name,title_wiki,egs_namespace,egs_offer_id
Subnautica,2018-12-14,2018-12-27,831,Subnautica,Subnautica,Subnautica,Subnautica,epic,a6d73af1b7de4ae086e61f462a351272
Super Meat Boy,2018-12-28,2019-01-10,830,Super Meat Boy,Super Meat Boy,Super Meat Boy,Super Meat Boy,epic,13434c6d49b742c7b195201573c146c9
Slime Rancher,2019-03-07,2019-03-21,825,Slime Rancher,Slime Rancher,Slime Rancher,Slime Rancher,corydalis,cd44981c3cea431a9a203ff94b132994
World of Goo,2019-05-02,2019-05-16,821,World of Goo,World of Goo,World of Goo,World of Goo,epic,5c36e7edaa91442496d9223bccce9e66
GNOG,2019-08-08,2019-08-15,806,GNOG,GNOG,GNOG,Gnog,epic,75804ef64d96446fb250a691fbd6654d
Costume Quest,2019-10-31,2019-11-07,782,Costume Quest,Costume Quest,Costume Quest,Costume Quest,epic,456b1db2807544d596c6b8b4d415d538
SUPERHOT,2019-12-21,2019-12-22,771,SUPERHOT,SUPERHOT,SUPERHOT,Superhot,epic,be60529b869c4a8dae064311aefdd1bd
FTL: Faster Than Light,2019-12-26,2019-12-27,766,FTL: Faster Than Light,FTL: Faster Than Light,FTL: Faster Than Light,FTL: Faster Than Light,f7dc1618d0bd4810a61f50d44333900e,61b641c3702f4770ac525101b39f0063
Farming Simulator 19,2020-01-30,2020-02-06,754,Farming Simulator 19,Farming Simulator 19,Farming Simulator 19,Farming Simulator 19,epic,05c98a2164de4f96b2689824cab4ac34
Assassin's Creed: Syndicate,2020-02-20,2020-02-27,748,Assassin's Creed Syndicate,Assassin's Creed Syndicate,Assassin's Creed: Syndicate,Assassin's Creed Syndicate,epic,02950ab2195f44dbb665264229b015c7
Amnesia: The Dark Descent,2020-04-30,2020-05-07,726,Amnesia: The Dark Descent,Amnesia: The Dark Descent,Amnesia: The Dark Descent,Amnesia: The Dark Descent,917551a8060244469eb4e6ab8a99cf24,785b37a897c14ad589d2d5f79aaf372e
Amnesia: A Machine for Pigs,2020-10-15,2020-10-22,680,Amnesia: A Machine for Pigs,Amnesia: A Machine for Pigs,Amnesia: A Machine for Pigs,Amnesia: A Machine for Pigs,8de58df378c34407b6db0388e0470a45,8080b4a777b54ec8a1ded2c8e7ec40a4
Alien: Isolation,2020-12-21,2020-12-22,663,Alien: Isolation,Alien: Isolation,Alien: Isolation,Alien: Isolation,df37f065c3f14eadbf011177396e2966,d37f3694e7a04edb8347f3cb6320f9d3
Stranded Deep,2020-12-28,2020-12-29,656,Stranded Deep,Stranded Deep,Stranded Deep,Stranded Deep,5fd8f5ae809f46d4b33741cc80d3aef8,c0050ea63818490f93837f8476bc5418
Crying Suns,2021-01-07,2021-01-14,652,Crying Suns,Crying Suns,Crying Suns,Crying Suns,0a4fc789eb0143c29296de79df5387ab,462844c5fc104812a53792c42d400644
Sunless Sea,2021-02-25,2021-03-04,643,Sunless Sea,Sunless Sea,Sunless Sea,Sunless Sea,f672c20984f04f69936e6057feefe3d1,5d921696022d4bbe850c76be8c9bc98f
The First Tree,2021-04-15,2021-04-22,636,The First Tree,The First Tree,The First Tree,The First Tree,489c2ca47aaa4190b694184b979d3b23,844f72b164ad4f5884c4feeca5561678
Alien: Isolation,2021-04-22,2021-04-29,632,Alien: Isolation,Alien: Isolation,Alien: Isolation,Alien: Isolation,df37f065c3f14eadbf011177396e2966,d37f3694e7a04edb8347f3cb6320f9d3
Hand of Fate 2,2021-04-22,2021-04-29,633,Hand of Fate 2,Hand of Fate 2,Hand of Fate 2,Hand of Fate 2,eb348461cdaf4bec9d69a1c4bb39ecc4,ef673112760b43c39b8492c31da80e4b
Shenmue III,2021-12-16,2021-12-17,576,Shenmue III,Shenmue III,Shenmue III,Shenmue III,epic,4045372b7cc449b3bcfbe4af8d31bf10
The Vanishing of Ethan Carter,2021-12-19,2021-12-20,573,The Vanishing of Ethan Carter,The Vanishing of Ethan Carter,The Vanishing of Ethan Carter,The Vanishing of Ethan Carter,f401d7e187e349138380d22e991b29ca,bdea68145b61462f9cd17068e835aadf
In Sound Mind,2022-03-17,2022-03-24,547,In Sound Mind,In Sound Mind,In Sound Mind,In Sound Mind,fa9812acd30f46f8a69a75bf27addb5c,9bbfe5536ecc4a1190e07cb4cbeb7ddb
Total War: WARHAMMER,2022-03-31,2022-04-07,545,Total War: WARHAMMER,Total War: WARHAMMER,Total War: Warhammer,Total War: Warhammer,0c321ac6d5fe49139c153253b60702f4,bb3ce2b4668b4b22aae989f4508f0b71
The Vanishing of Ethan Carter,2022-04-07,2022-04-14,543,The Vanishing of Ethan Carter,The Vanishing of Ethan Carter,The Vanishing of Ethan Carter,The Vanishing of Ethan Carter,f401d7e187e349138380d22e991b29ca,bdea68145b61462f9cd17068e835aadf
Supraland,2022-06-16,2022-06-23,525,Supraland,Supraland,Supraland,Supraland,ae373893881044d2bf26d6f8363a120e,1167f711027c484cafb64899f89527ba
Runbow,2022-09-29,2022-10-06,496,Runbow,Runbow,Runbow,Runbow,aa7c3e6b5a2a4ca8962270c15bddb861,d98bc011d00a4323b2c49c7dc9d75969
Saints Row IV: Re-Elected,2022-12-08,2022-12-15,476,Saints Row IV Re-Elected,Saints Row IV: Re-Elected,Saints Row IV: Re-Elected,Saints Row IV: Re-Elected,151e56468b5049628653dedab7c88007,23ea1157ec89467d99f9b0fdf0ddb89b
Dishonored: Death of the Outsider,2023-02-02,2023-02-09,447,Dishonored®: Death of the Outsider™,Dishonored: Death of the Outsider,Dishonored: Death of the Outsider,Dishonored: Death of the Outsider,87c84bc5f43d4fe69ad8f3ccde0594b0,faf518d367de4306a911ce211c8e47e4
Rise of Industry,2023-03-02,2023-03-09,442,Rise of Industry,Rise of Industry,Rise of Industry,Rise of Industry,9f101e25b1a9427a9e6971d2b21c5f82,c04a2ab8ff4442cba0a41fb83453e701
Breathedge,2023-04-27,2023-05-04,427,Breathedge,Breathedge,Breathedge,Breathedge,08ae29e4f70a4b62aa055e383381aa82,8401414902e84f2cb9afa9142f051d32
