Original_Title,HLTB_Found,HLTB_Game_Name,HLTB_Main_Story,HLTB_Main_Extra,HLTB_Completionist,HLTB_All_Styles,HLTB_Review_Score,HLTB_Platforms,HLTB_Release_World,HLTB_Similarity,HLTB_Match_Score,HLTB_Query_Used
112 Operator,True,112 Operator,10.15,19.14,28.07,12.82,70.0,"Nintendo Switch, PC",2020.0,1.0,1.0,112 Operator
20 Minutes Till Dawn,True,20 Minutes Till Dawn,3.65,12.41,30.07,12.95,69.0,"Mac, Mobile, Nintendo Switch, PC",2023.0,1.0,1.0,20 Minutes Till Dawn
2064: Read Only Memories,True,2064: Read Only Memories,9.1,11.5,18.99,10.74,71.0,"Nintendo Switch, PC, PlayStation 4, PlayStation Vita",2015.0,1.0,1.0,2064: Read Only Memories
20XX,True,20XX,5.98,14.39,40.5,8.69,68.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2014.0,1.0,1.0,20XX
"3 out of 10, EP 1: ""Welcome To Shovelworks""",False,,,,,,,,,,,
3 out of 10: Season Two,True,3 out of 10: Season Two,3.49,4.39,5.58,4.13,66.0,PC,2021.0,1.0,1.0,3 out of 10: Season Two
911 Operator,True,911 Operator,6.34,10.41,21.38,9.21,64.0,"Mobile, Nintendo Switch, PC",2017.0,1.0,1.0,911 Operator
>observer_,True,Observer,6.93,8.7,11.47,7.88,71.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,>observer_
A Game Of Thrones: The Board Game Digital Edition,False,,,,,,,,,,,
A Plague Tale: Innocence,True,A Plague Tale: Innocence,10.94,12.58,15.95,12.29,80.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2019.0,1.0,1.0,A Plague Tale: Innocence
A Short Hike,True,A Short Hike,1.51,2.15,4.66,2.28,82.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,A Short Hike
A Total War Saga: Troy,True,Total War Saga: TROY,35.13,62.88,82.67,45.3,67.0,PC,2020.0,0.9523809523809524,0.95,A Total War Saga: Troy
ABZÛ,True,ABZÛ,1.93,2.45,4.04,2.24,74.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,ABZÛ
APE OUT,True,Ape Out,2.16,3.05,9.51,2.43,75.0,"Nintendo Switch, PC, Xbox One",2019.0,1.0,1.0,APE OUT
ARK: Survival Evolved,True,ARK: Survival Evolved,67.59,278.06,953.31,263.51,65.0,"Google Stadia, Mac, Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,ARK: Survival Evolved
Absolute Drift,True,Absolute Drift,2.71,4.5,9.11,5.02,65.0,"Linux, Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2015.0,1.0,1.0,Absolute Drift
Adios,True,Adios,1.32,1.49,2.02,1.47,60.0,"Nintendo Switch, PC, Xbox One",2021.0,1.0,1.0,Adios
Aer: Memories of Old,True,AER: Memories of Old,3.06,3.91,4.38,3.8,66.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,Aer: Memories of Old
Aerial_Knight's Never Yield,True,Aerial_Knight's Never Yield,1.47,2.44,2.58,1.82,55.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Aerial_Knight's Never Yield
Against All Odds,True,Against All Odds,1.0,0.0,0.0,1.0,31.0,PC,2023.0,1.0,1.0,Against All Odds
